filepath,x,y,z,undulation,roll,pitch,yaw,landcover
queries/00001.png,4023518.0,510303.75,4906569.65,47.8,-0.0073764682747423,0.0095759807154536,-0.0762864127755165,1
queries/00002.png,4023484.45,510291.89,4906597.63,47.8,0.0266015380620956,-0.0029512757901102,-0.0540984831750392,3
queries/00003.png,4023450.33,510280.27,4906625.29,47.8,-0.0005044193821959,-0.0011386339319869,-0.0506879016757011,3
queries/00004.png,4023416.03,510268.62,4906652.85,47.8,-0.0309553816914558,0.0126312961801886,-0.0577154122292995,3
queries/00005.png,4023381.83,510256.78,4906680.47,47.8,-0.0349814221262931,0.0112706879153847,-0.0669943615794181,3
queries/00006.png,4023347.73,510244.73,4906708.07,47.8,-0.0248015765100717,0.0066023329272866,-0.055934764444828,3
queries/00007.png,4023313.44,510232.68,4906735.57,47.8,0.0173734445124864,0.0084630558267235,-0.0595880597829818,3
queries/00008.png,4023279.17,510220.97,4906763.29,47.8,-0.0283378195017576,0.0094460444524884,-0.0689413323998451,3
queries/00009.png,4023245.23,510209.26,4906791.43,47.8,-0.047795508056879,0.026639649644494,-0.0808279812335968,3
queries/00010.png,4023211.96,510197.37,4906819.98,47.8,-0.0235388875007629,0.0516438782215118,-0.0751816630363464,1
queries/00011.png,4023179.61,510185.61,4906849.17,47.8,-0.0356576293706893,0.0480940602719783,-0.0923959612846374,1
queries/00012.png,4023147.55,510173.76,4906878.11,47.8,-0.0450420230627059,0.025647023692727,-0.1014956980943679,1
queries/00013.png,4023115.14,510161.58,4906906.32,47.8,-0.0677966475486755,0.02766122110188,-0.1117279231548309,1
queries/00014.png,4023082.85,510148.99,4906934.4,47.8,-0.0295016504824161,0.0390785746276378,-0.1086636483669281,1
queries/00015.png,4023051.13,510136.47,4906962.83,47.8,-0.0229338351637125,0.037127997726202,-0.0927722603082656,1
queries/00016.png,4023019.2,510124.18,4906990.91,47.8,-0.0117014367133378,0.0177451483905315,-0.1027173474431037,1
queries/00017.png,4022986.73,510112.02,4907018.35,47.8,0.0067004757001996,0.0106265749782323,-0.1139069646596908,1
queries/00018.png,4022954.23,510099.99,4907045.87,47.8,0.0127612072974443,0.0029795963782817,-0.0966873615980148,1
queries/00019.png,4022921.48,510088.22,4907073.49,47.8,-0.0040277643129229,0.0120748812332749,-0.0999936535954475,1
queries/00020.png,4022888.73,510076.59,4907101.25,47.8,-0.0193466898053884,0.0092504387721419,-0.1006700992584228,1
queries/00021.png,4022855.79,510064.89,4907128.86,47.8,-0.0325070843100547,0.001720602158457,-0.0998952463269233,1
queries/00022.png,4022821.33,510052.52,4907157.43,47.8,-0.0392719134688377,0.0043871970847249,-0.096057154238224,1
queries/00023.png,4022788.16,510040.41,4907184.98,47.8,-0.0314324460923671,0.0091409794986248,-0.0977200493216514,1
queries/00024.png,4022755.05,510028.1,4907212.63,47.8,-0.0300541017204523,0.0063391355797648,-0.0941516011953353,1
queries/00025.png,4022721.74,510015.71,4907240.14,47.8,-0.0139791015535593,0.0119265690445899,-0.1137469857931137,1
queries/00026.png,4022688.58,510003.28,4907267.79,47.8,-0.016007412225008,0.0064467368647456,-0.1031134724617004,1
queries/00027.png,4022655.01,509991.04,4907295.16,47.8,0.0329652614891529,0.0066802841611206,-0.116124726831913,1
queries/00028.png,4022621.64,509979.3,4907322.97,47.8,-0.0413433611392974,0.0183688662946224,-0.1242103204131126,1
queries/00029.png,4022588.41,509967.3,4907350.7,47.7,-0.0509288646280765,0.0138740157708525,-0.1054629161953926,1
queries/00030.png,4022554.93,509955.0,4907378.22,47.7,-0.0216010101139545,0.0128465807065367,-0.1189857572317123,1
queries/00031.png,4022521.9,509942.67,4907406.4,47.7,-0.0040834159590303,0.0084830829873681,-0.1400368958711624,1
queries/00032.png,4022488.74,509930.27,4907434.39,47.7,0.0027776346541941,-0.0083747189491987,-0.1209097728133201,1
queries/00033.png,4022455.33,509917.94,4907462.39,47.7,-0.0409847497940063,-0.0118836872279644,-0.0821002870798111,1
queries/00034.png,4022421.77,509905.53,4907490.62,47.7,-0.008285442367196,-0.0023548011668026,-0.0804193913936615,1
queries/00035.png,4022388.06,509893.11,4907518.89,47.7,-0.0222433600574731,0.0004853425489272,-0.0895083844661712,1
queries/00036.png,4022354.08,509880.69,4907547.04,47.7,-0.0227168016135692,0.0081753283739089,-0.1007473245263099,1
queries/00037.png,4022320.23,509868.27,4907575.35,47.7,-0.0153819750994443,0.0274519901722669,-0.0942355543375015,1
queries/00038.png,4022286.9,509856.11,4907604.18,47.7,-0.0403291396796703,0.0146236103028059,-0.1050143018364906,1
queries/00039.png,4022253.3,509843.84,4907632.46,47.7,0.006801473442465,0.0110203521326184,-0.0998467877507209,2
queries/00040.png,4022219.72,509831.74,4907660.64,47.7,-0.0351476892828941,0.026180924847722,-0.0853287652134895,2
queries/00041.png,4022186.44,509819.71,4907688.8,47.7,-0.0314878262579441,0.0367171391844749,-0.083802044391632,2
