filepath,x,y,z,roll,pitch,yaw
queries/00001.png,4023518.0,510303.75,4906569.65,-0.42264049985488156,0.5486632796941578,-4.37088948622998
queries/00002.png,4023484.45,510291.89,4906597.63,1.5241558595146967,-0.16909564695245186,-3.0996147639892397
queries/00003.png,4023450.33,510280.27,4906625.29,-0.028901101704421492,-0.0652389187132354,-2.9042028383917664
queries/00004.png,4023416.03,510268.62,4906652.85,-1.7736127241369568,0.7237199609045251,-3.306849533596599
queries/00005.png,4023381.83,510256.78,4906680.47,-2.0042878492021488,0.6457628497606432,-3.838494169674053
queries/00006.png,4023347.73,510244.73,4906708.07,-1.4210256592979098,0.3782858116737764,-3.2048259307470617
queries/00007.png,4023313.44,510232.68,4906735.57,0.9954250461701907,0.48489738065485627,-3.4141443349380936
queries/00008.png,4023279.17,510220.97,4906763.29,-1.6236374580542279,0.5412184802205497,-3.950047380519643
queries/00009.png,4023245.23,510209.26,4906791.43,-2.738480891342689,1.5263394923366902,-4.631102191247718
queries/00010.png,4023211.96,510197.37,4906819.98,-1.3486789082269606,2.958976259780214,-4.307591988757355
queries/00011.png,4023179.61,510185.61,4906849.17,-2.0430316703822227,2.7555866732321608,-5.293898625663875
queries/00012.png,4023147.55,510173.76,4906878.11,-2.5807178222239666,1.4694662146652846,-5.8152751395412725
queries/00013.png,4023115.14,510161.58,4906906.32,-3.8844617696750645,1.5848712253159365,-6.401538450533796
queries/00014.png,4023082.85,510148.99,4906934.4,-1.6903200613125318,2.2390373955506684,-6.22596843791862
queries/00015.png,4023051.13,510136.47,4906962.83,-1.3140119629294458,2.1272775714826913,-5.315458971552665
queries/00016.png,4023019.2,510124.18,4906990.91,-0.6704429379136893,1.0167221096108203,-5.88527049126874
queries/00017.png,4022986.73,510112.02,4907018.35,0.38390897835140214,0.6088578969320355,-6.526388332146104
queries/00018.png,4022954.23,510099.99,4907045.87,0.7311633196351057,0.1707182971280069,-5.539777751821519
queries/00019.png,4022921.48,510088.22,4907073.49,-0.23077389600389198,0.6918397327883743,-5.729214329112291
queries/00020.png,4022888.73,510076.59,4907101.25,-1.1084836733975312,0.5300111002879103,-5.767971810670705
queries/00021.png,4022855.79,510064.89,4907128.86,-1.862518735242072,0.0985832419006858,-5.7235760079524445
queries/00022.png,4022821.33,510052.52,4907157.43,-2.250114895167373,0.25136787684683537,-5.503669529887423
queries/00023.png,4022788.16,510040.41,4907184.98,-1.8009465008651115,0.5237395458868124,-5.598946399940869
queries/00024.png,4022755.05,510028.1,4907212.63,-1.7219731856387832,0.3632057144817392,-5.39448938289159
queries/00025.png,4022721.74,510015.71,4907240.14,-0.8009435204037202,0.6833420703263757,-6.51722221827995
queries/00026.png,4022688.58,510003.28,4907267.79,-0.9171571614190769,0.36937081398132354,-5.907966782993872
queries/00027.png,4022655.01,509991.04,4907295.16,1.8887703538736085,0.382752088380302,-6.653456744578202
queries/00028.png,4022621.64,509979.3,4907322.97,-2.3688001041669198,1.0524585131219746,-7.116727131639008
queries/00029.png,4022588.41,509967.3,4907350.7,-2.9180089985818882,0.7949225485677918,-6.042579993137893
queries/00030.png,4022554.93,509955.0,4907378.22,-1.2376467127489983,0.7360548556587441,-6.817381711545329
queries/00031.png,4022521.9,509942.67,4907406.4,-0.23396250044880165,0.4860448524354224,-8.023523109530588
queries/00032.png,4022488.74,509930.27,4907434.39,0.15914674271460183,-0.4798360503973212,-6.927619684088864
